DATADOACAO,FORNECEDOR,DESTINO,ESTADO/MUNICIPIO,TIPO,QUANTIDADE,VALOR,DESTINATARIO,UF,DATA DE ENTREGA
12/06/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,2, 96.580,Secretaria Municipal de Saude (Trindade),GO,15/06/2020
25/06/2020,VYAIRE,GOIAS,ESTADO,UTI,20, 1.200.000,Secretaria Estadual de Saude,GO,26/06/2020
25/06/2020,MAGNAMED,GOIAS,ESTADO,TRANSPORTE,10, 482.900,Secretaria Estadual de Saude,GO,26/06/2020
25/06/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,5, 300.000,SECRETARIA MUNICIPAL DE SAUDE DE AGUAS LINDAS,GO,27/06/2020
25/06/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,5, 300.000,Secretaria Municipal de Saude (Sao Luis Belos Montes),GO,26/06/2020
26/06/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,15, 724.350,Secretaria Municipal de Saude (GOÍS),GO,29/06/2020
26/06/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,10, 600.000,Secretaria Municipal de Saude (GOÍS),GO,29/06/2020
26/06/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,5, 241.450,Secretaria Municipal de Saude (JATA̍),GO,30/06/2020
26/06/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,5, 300.000,Secretaria Municipal de Saude (JATA̍),GO,30/06/2020
26/06/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,5, 241.450,Secretaria Municipal de Saude (SANTA HELENA DE GOÍS),GO,29/06/2020
26/06/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,5, 300.000,Secretaria Municipal de Saude (SANTA HELENA DE GOÍS),GO,29/06/2020
26/06/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,1, 48.290,Secretaria Municipal de Saude (SANTO ANTONIO DO DESCOBERTO),GO,29/06/2020
26/06/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,1, 60.000,Secretaria Municipal de Saude (SANTO ANTONIO DO DESCOBERTO),GO,29/06/2020
26/06/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,3, 144.870,Secretaria Municipal de Saude (SAO LUIS DE MONTES BELOS),GO,29/06/2020
26/06/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,3, 180.000,Secretaria Municipal de Saude (SAO LUIS DE MONTES BELOS),GO,29/06/2020
26/06/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,10, 600.000,Secretaria Municipal de Saude (Anapolis),GO,29/06/2020
26/06/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,8, 160.000,Secretaria Municipal de Saude (Anapolis),GO,29/06/2020
26/06/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,5, 300.000,Secretaria Municipal de Saude (Bela Vista),GO,30/06/2020
07/07/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,5, 300.000,FORMOSA - HOSPITAL MUNICIPAL DE FORMOSA,GO,11/07/2020
07/07/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,5, 241.450,FORMOSA - HOSPITAL MUNICIPAL DE FORMOSA,GO,11/07/2020
07/07/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,6, 360.000,JATA̍ - HOSPITAL DAS CLINICAS DR. SERAFIM DE CARVALHO,GO,13/07/2020
07/07/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,6, 289.740,JATA̍ - HOSPITAL DAS CLINICAS DR. SERAFIM DE CARVALHO,GO,13/07/2020
07/07/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,5, 241.450,PORANGATU - HOSPITAL MUNICIPAL DE PORANGATU,GO,13/07/2020
07/07/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,6, 360.000,SAO LUIS DE MONTES BELOS - HOSPITAL MUNICIPAL DR GERALDO LANDO,GO,12/07/2020
07/07/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,6, 289.740,SAO LUIS DE MONTES BELOS - HOSPITAL MUNICIPAL DR GERALDO LANDO,GO,12/07/2020
10/07/2020,VYAIRE,GOIAS,ESTADO,UTI,60, 3.600.000,GOIANIA - SES (oficio) - Secretaria Estadual de Saude,GO,12/07/2020
10/07/2020,MAGNAMED,GOIAS,ESTADO,TRANSPORTE,4, 193.160,GOIANIA - Secretaria Estadual de Saude,GO,12/07/2020
10/07/2020,VYAIRE,GOIAS,ESTADO,UTI,4, 240.000,GOIANIA - Secretaria Estadual de Saude,GO,12/07/2020
10/07/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,5, 241.450,GOIANIA - Secretaria Municipal de Saude,GO,13/07/2020
10/07/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,5, 300.000,GOIANIA - Secretaria Municipal de Saude,GO,13/07/2020
10/07/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,10, 482.900,GOIANISIA - Secretaria Municipal de Saude,GO,13/07/2020
10/07/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,10, 600.000,GOIANISIA - Secretaria Municipal de Saude,GO,13/07/2020
17/07/2020,VYAIRE,GOIAS,ESTADO,UTI,21, 1.260.000,GOIANIA - Secretaria Estadual de Saude ,GO,30/07/2020
17/07/2020,KTK,GOIAS,ESTADO,TRANSPORTE,19, 380.000,GOIANIA - Secretaria Estadual de Saude ,GO,30/07/2020
17/07/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,4, 240.000,LUZIANIA -  Secretaria Municipal de Saude ,GO,24/07/2020
17/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,5, 100.000,LUZIANIA -  Secretaria Municipal de Saude ,GO,24/07/2020
24/07/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,2, 120.000,ALEXANIA - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,ALEXANIA - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,ALTO PARAISO DE GOIAS - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,4, 240.000,CATALAO - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,5, 100.000,CATALAO - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,CAVALCANTE - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,10, 600.000,GOIAS - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,3, 180.000,IDEALINA - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,IDEALINA - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,1, 60.000,ITABERAI - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,ITABERAI - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,3, 180.000,MINEIROS - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,MINEIROS - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,1, 60.000,NOVO GAMA - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,NOVO GAMA - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,7, 420.000,PLANALTINA - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,7, 140.000,PLANALTINA - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,3, 60.000,PORANGATU - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,7, 420.000,POSSE - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,2, 120.000,QUIRINOPOLIS - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,QUIRINOPOLIS - Secretaria Municipal de Saude ,GO,03/08/2020
24/07/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,10, 600.000,SANTA HELENA DE GOIAS - Secretaria Municipal de Saude ,GO,03/08/2020
31/07/2020,KTK,GOIAS,ESTADO,TRANSPORTE,5, 100.000,SES GOIAS,GO,08/08/2020
31/07/2020,KTK,GOIAS,ESTADO,TRANSPORTE,5, 100.000,SES GOIAS,GO,08/08/2020
31/07/2020,KTK,GOIAS,ESTADO,TRANSPORTE,5, 100.000,SES GOIAS,GO,08/08/2020
31/07/2020,LEISTUNG,GOIAS,MUNICIPIO,UTI,1, 60.000,SMS de Diorama,GO,08/08/2020
31/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,1, 20.000,SMS de Diorama,GO,08/08/2020
31/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,SMS de Matrincha,GO,08/08/2020
31/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,1, 20.000,SMS de Moipora,GO,08/08/2020
31/07/2020,LEISTUNG,GOIAS,MUNICIPIO,UTI,1, 60.000,SMS de Mossamedes,GO,08/08/2020
31/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,1, 20.000,SMS de Mossamedes,GO,08/08/2020
31/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,3, 60.000,SMS de Padre Bernardo,GO,08/08/2020
31/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,SMS de Santo Antonio do Descoberto,GO,08/08/2020
31/07/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,SMS de Valparaiso de Goias,GO,08/08/2020
09/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,1, 48.290,SMS de Mineiros,GO,14/08/2020
09/08/2020,LEISTUNG,GOIAS,MUNICIPIO,UTI,3, 180.000,SMS de Ipameri,GO,14/08/2020
09/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,3, 144.870,SMS de Ipameri,GO,14/08/2020
09/08/2020,LEISTUNG,GOIAS,MUNICIPIO,UTI,3, 180.000,SMS de Pires do Rio,GO,14/08/2020
09/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,1, 48.290,SMS de Mineiros,GO,14/08/2020
09/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,2, 96.580,SMS de Rialma,GO,14/08/2020
09/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,4, 193.160,SMS de Cabeceiras,GO,14/08/2020
09/08/2020,LEISTUNG,GOIAS,MUNICIPIO,UTI,2, 120.000,SMS de Niquelandia,GO,14/08/2020
09/08/2020,LEISTUNG,GOIAS,MUNICIPIO,UTI,2, 120.000,SMS de Pontalina,GO,14/08/2020
09/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,2, 96.580,SMS de Pontalina,GO,14/08/2020
09/08/2020,LEISTUNG,GOIAS,MUNICIPIO,UTI,3, 180.000,SMS DE ARAGARCAS,GO,14/08/2020
09/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,3, 144.870,SMS DE ARAGARCAS,GO,14/08/2020
09/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,2, 96.580,SMS de Silvania,GO,14/08/2020
09/08/2020,LEISTUNG,GOIAS,MUNICIPIO,UTI,2, 120.000,SMS de Santa Terezinha de Goias,GO,14/08/2020
09/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,1, 48.290,SMS de Santa Terezinha de Goias,GO,14/08/2020
14/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,1, 48.290,SMS de Divinopolis de Goias,GO,20/08/2020
14/08/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,1, 60.000,SMS de Divinopolis de Goias,GO,20/08/2020
14/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,1, 48.290,SMS de Santa Cruz de Goias,GO,20/08/2020
14/08/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,1, 60.000,SMS de Santa Cruz de Goias,GO,20/08/2020
14/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,2, 96.580,SMS de Padre Bernardo,GO,20/08/2020
14/08/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,3, 180.000,SMS de Padre Bernardo,GO,20/08/2020
14/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,2, 96.580,SMS de Sao Domingos,GO,20/08/2020
14/08/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,1, 60.000,SMS de Uruacu,GO,20/08/2020
14/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,1, 48.290,SMS de Uruacu,GO,20/08/2020
14/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,2, 96.580,SMS de Sao Domingos,GO,20/08/2020
14/08/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,3, 180.000,SMS de Inhumas,GO,20/08/2020
14/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,3, 144.870,SMS de Inhumas,GO,20/08/2020
21/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,2, 96.580,SECRETARIA MUNICIPAL DE SAUDE DE ANAPOLIS,GO,24/08/2020
21/08/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,3, 180.000,SECRETARIA MUNICIPAL DE SAUDE DE ANAPOLIS,GO,24/08/2020
21/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,1, 48.290,SMS de Ceres,GO,26/08/2020
21/08/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,2, 120.000,SMS de Ceres,GO,26/08/2020
21/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,1, 48.290,Secretaria Municipal de Saude de Cidade,GO,24/08/2020
21/08/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,1, 60.000,Secretaria Municipal de Saude de Cidade,GO,24/08/2020
21/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,1, 48.290,SECRETARIA MUNICIPAL DE SAUDE DE ANAPOLIS,GO,24/08/2020
21/08/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,1, 60.000,SECRETARIA MUNICIPAL DE SAUDE DE ANAPOLIS,GO,24/08/2020
21/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,1, 48.290,SMS de Novo Gama,GO,24/08/2020
21/08/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,1, 60.000,SMS de Novo Gama,GO,24/08/2020
21/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,1, 48.290,SMS de Ipora,GO,25/08/2020
21/08/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,1, 60.000,SMS de Itumbiara,GO,25/08/2020
21/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,1, 48.290,SMS de Itumbiara,GO,25/08/2020
21/08/2020,VYAIRE,GOIAS,MUNICIPIO,UTI,1, 60.000,SMS de Pires do Rio,GO,25/08/2020
21/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,1, 48.290,SMS de Pires do Rio,GO,25/08/2020
27/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,1, 48.290,SMS de Goiatuba,GO,01/09/2020
27/08/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,1, 60.000,SMS de Goiatuba,GO,01/09/2020
27/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,1, 48.290,SMS de Hidrolandia,GO,01/09/2020
27/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,2, 96.580,SMS de Senador Canedo,GO,01/09/2020
27/08/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,3, 180.000,SMS de Senador Canedo,GO,01/09/2020
27/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,3, 144.870,SMS de PARAUNA,GO,02/09/2020
27/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,2, 96.580,SMS de Sao Domingos,GO,02/09/2020
27/08/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,3, 180.000,SMS de Sao Domingos,GO,02/09/2020
27/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,1, 48.290,SMS de Sao Miguel do Araguaia,GO,02/09/2020
27/08/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,1, 60.000,SMS de Sao Miguel do Araguaia,GO,02/09/2020
27/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,3, 144.870,SMS de Rubiataba,GO,02/09/2020
27/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,3, 144.870,SMS de Jandaia,GO,02/09/2020
27/08/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,5, 300.000,SMS de Rio Verde,GO,04/09/2020
27/08/2020,MAGNAMED,GOIAS,MUNICIPIO,TRANSPORTE,5, 241.450,SMS de Rio Verde,GO,04/09/2020
03/09/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,SES GOIAS,GO,08/09/2020
03/09/2020,KTK,GOIAS,MUNICIPIO,TRANSPORTE,5, 100.000,SMS de Novo Gama,GO,08/09/2020
08/10/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,2, 120.000,SMS de Campos Belos,GO,17/10/2020
08/10/2020,VYAIRE LTV 2200 USA,GOIAS,MUNICIPIO,Transporte USA,1, 63.125,97,SMS de Minacu,GO,17/10/2020
08/10/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,2, 120.000,SMS de Minacu,GO,17/10/2020
16/10/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,1, 60.000,SMS de Arenopolis,GO,21/10/2020
26/10/2020,VYAIRE LTV 2200 USA,GOIAS,MUNICIPIO,Transporte USA,1, 63.125,97,SMS de Sao Joao da Parauna,GO,29/10/2020
26/10/2020,VYAIRE LTV 2200 USA,GOIAS,MUNICIPIO,Transporte USA,1, 63.125,97,SMS de Corrego do Ouro,GO,29/10/2020
26/10/2020,VYAIRE LTV 2200 USA,GOIAS,MUNICIPIO,Transporte USA,1, 63.125,97,SMS de Montividiu do Norte,GO,01/11/2020
26/10/2020,VYAIRE LTV 2200 USA,GOIAS,MUNICIPIO,Transporte USA,1, 63.125,97,SMS de Divinopolis de Goias,GO,30/10/2020
26/10/2020,VYAIRE LTV 2200 USA,GOIAS,MUNICIPIO,Transporte USA,1, 63.125,97,SMS de Hidrolina,GO,29/10/2020
26/10/2020,VYAIRE LTV 2200 USA,GOIAS,MUNICIPIO,Transporte USA,1, 63.125,97,SMS de Mara Rosa,GO,29/10/2020
26/10/2020,VYAIRE LTV 2200 USA,GOIAS,MUNICIPIO,Transporte USA,1, 63.125,97,SMS de Santo Antonio de Goias,GO,29/10/2020
29/10/2020,VYAIRE LTV 2200 USA,GOIAS,MUNICIPIO,Transporte USA,4, 252.503,88,SMS de Senador Canedo,GO,03/11/2020
29/10/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,1, 60.000,SMS de Santa Rosa de Goias,GO,03/11/2020
29/10/2020,VYAIRE LTV 2200 USA,GOIAS,MUNICIPIO,Transporte USA,1, 63.125,97,SMS de Aruana,GO,03/11/2020
29/10/2020,MAGNAMED,GOIAS,MUNICIPIO,UTI,1, 60.000,SMS de Aruana,GO,03/11/2020
30/12/2020,VYAIRE LTV 2200 USA,GOIAS,ESTADO,Transporte USA,8, 505.007,76,Hospital Estadual e Maternidade de Urua̤u ,GO,05/01/2021
30/12/2020,VYAIRE,GOIAS,ESTADO,UTI,40, 2.400.000,Hospital Estadual e Maternidade de Urua̤u ,GO,05/01/2021
15/01/2021,VYAIRE,GOIAS,ESTADO,UTI,80, 4.800.000,SES de GOIAS,GO,15/01/2021
28/01/2021,VYAIRE,GOIAS,ESTADO,UTI,100, 6.000.000,HOSPITAL DAS CLINICAS,GO,29/01/2021
10/02/2021,VYAIRE LTV 2200 USA,GOIAS,MUNICIPIO,TRANSPORTE USA,2, 126.251,94,UNIDADE MISTA DE ABADIANIA ,GO,15/02/2021
10/02/2021,VYAIRE LTV 2200 USA,GOIAS,MUNICIPIO,TRANSPORTE USA,1, 63.125,97,SMS de Israelandia ,GO,16/02/2021
10/02/2021,VYAIRE LTV 2200 USA,GOIAS,MUNICIPIO,TRANSPORTE USA,1, 63.125,97,CENTRO DE SAUDE DE AMORINOPOLIS,GO,16/02/2021
26/02/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,1, 20.000,SMS de Baliza,GO,26/02/2021
27/02/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,SMS de Pirenopolis ,GO,01/03/2021
27/02/2021,VYAIRE,GOIAS,MUNICIPIO,UTI,2, 120.000,SMS de Pirenopolis ,GO,01/03/2021
27/02/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,20, 400.000,SMS de Anapolis,GO,28/02/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,3, 60.000,SMS de Cristalina,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,5, 100.000,SMS de Ipameri,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,SMS de Cumari,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,3, 60.000,SMS de Nova Crixas,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,1, 20.000,SMS de Santa Tereza de Goias,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,3, 60.000,SMS de Goiandira,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,SMS de Faina,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,1, 20.000,SMS de Goias,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,SMS de Mundo Novo,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,6, 120.000,SMS de Itapirapua,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,3, 60.000,SMS de Rio Quente,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,1, 20.000,SMS de Damolandia,GO,06/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,1, 20.000,SMS de Brazabrantes,GO,06/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,SMS de Rianapolis,GO,06/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,3, 60.000,SMS de Inhumas,GO,06/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,1, 20.000,SECRETARIA MUNICIPAL DE SAUDE DE BONFINOPOLIS,GO,06/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,3, 60.000,SMS de Campestre de Goias,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,SMS de Cristianopolis,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,4, 80.000,SMS de Gameleira de Goias,GO,06/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,1, 20.000,SMS de Leopoldo de Bulhoes,GO,06/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,1, 20.000,SMS de Santa Cruz de Goias,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,3, 60.000,SMS de Doverlandia,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,1, 20.000,SMS de Palmelo,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,3, 60.000,SMS de Americano do Brasil,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,3, 60.000,SECRETARIA MUNICIPAL DE SAUDE DE ARAGUAPAZ,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,1, 20.000,SMS de Corrego do Ouro,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,3, 60.000,SMS de Crixas,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,1, 20.000,HOSPITAL MUNICIPAL DE FLORES DE GOIAS,GO,06/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,1, 20.000,HOSPITAL MUNICIPAL DR CELSO MAEDA,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,3, 60.000,HOSPITAL MUNICIPAL DE ARACU,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,3, 60.000,HOSPITAL MUNICIPAL DE GOIANAPOLIS,GO,06/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,3, 60.000,HOSPITAL MUNICIPAL DR SERGIO NOBRE CAETANO DA COSTA,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,3, 60.000,HOSPITAL MUNICIPAL DR EDNALDO BARBOZA MACHADO,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,1, 20.000,HOSPITAL MUNICIPAL SANTO ANTONIO OUVIDOR,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,6, 120.000,HOSPITAL MUNICIPAL DE MARZAGAO,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,HOSPITAL MUNICIPAL DE MOZARLANDIA,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,3, 60.000,HOSPITAL MUNICIPAL CRISTO REDENTOR,GO,07/03/2021
04/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,2, 40.000,HOSPITAL MUNICIPAL DE MONTES CLAROS DE GOIAS,GO,07/03/2021
11/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,15, 300.000,SMS de ́guas Lindas de Goias ,GO,12/03/2021
11/03/2021,KTK,GOIAS,MUNICIPIO,TRANSPORTE,10, 200.000,SMS de Padre Bernardo ,GO,12/03/2021
11/03/2021,KTK,GOIAS,ESTADO,TRANSPORTE,9, 180.000,SES GOIAS,GO,13/03/2021
11/03/2021,LIFEMED ,GOIAS,ESTADO,UTI,30, 1.800.000,SES GOIAS,GO,13/03/2021
